state,Location,White2008,Black2008,Hispanic2008,Total2008,White2009,Black2009,Hispanic2009,Total2009,2010White,2010Black,2010Hispanic,2010Total,2011__White,2011__Black,2011__Hispanic,2011__Total,2012__White,2012__Black,2012__Hispanic,2012__Total,2013__White,2013__Black,2013__Hispanic,2013__Total,2014__White,2014__Black,2014__Hispanic,2014__Total,2015__White,2015__Black,2015__Hispanic,2015__Total,2016__White,2016__Black,2016__Hispanic,2016__Total,2017__White,2017__Black,2017__Hispanic,2017__Total,2018__White,2018__Black,2018__Hispanic,2018__Total,2019__White,2019__Black,2019__Hispanic,2019__Total
NJ,New Jersey,5240200,1085700,1399200,8494600,5200000,1071900,1428600,8519200,5119000,1085500,1536000,8620400,5074800,1073400,1575400,8638700,5044400,1078000,1616200,8685500,5011800,1082400,1658100,8716900,4969400,1096900,1701600,8756200,4933200,1084500,1732200,8776300,4883400,1090900,1756100,8762700,4851700,1101200,1812000,8823900,4776900,1100300,1812100,8728300,4738500,1081400,1822900,8699400
NM,New Mexico,803100,36000,876200,1934000,804300,35700,892900,1958500,817900,33600,937600,2018000,817500,31600,954900,2036500,812200,34000,960400,2039200,803000,33400,964500,2040200,788200,34300,973700,2036700,780300,33700,980800,2035300,769600,33400,986700,2029400,760000,32800,998200,2038200,754700,37100,1004800,2045300,750000,35000,1010200,2041400
NY,New York,11360200,2748600,3154900,18944000,11340600,2745300,3199100,18990400,10977600,2704600,3360400,18860000,10958200,2709900,3419900,18940500,10922400,2719700,3476600,19040100,10889900,2716400,3525400,19119600,10836700,2744600,3585700,19216400,10771000,2737800,3641400,19269200,10683700,2727900,3665200,19221500,10652400,2735300,3722400,19315700,10508500,2684400,3665000,19016900,10432200,2651600,3649800,18908300
NC,North Carolina,5975700,1853900,657500,8886300,6041200,1859900,688300,9026700,6042600,1926500,782500,9241100,6087000,1977200,805700,9353100,6107600,1992500,818900,9439200,6141200,2001700,839000,9522500,6178500,2047800,865900,9632900,6213600,2063700,888700,9733700,6255500,2069000,905300,9829900,6279300,2087600,935400,9948800,6314100,2095600,962600,10044400,6355400,2124200,987900,10139700
ND,North Dakota,550200,4200,12600,610300,548500,5600,11500,615400,577700,7100,12200,647200,582700,5000,14200,657100,593700,10800,14700,671900,606300,11100,15800,693500,616200,14300,16900,708400,626300,9800,24600,726400,619700,18600,22500,725900,614500,21100,24500,726000,613100,22200,25800,730600,614600,17900,29400,731000
OH,Ohio,9210900,1276300,285400,11157500,9226200,1288400,309900,11207100,9121200,1332000,341900,11215700,9115300,1321700,349300,11224600,9073800,1333600,359300,11222100,9063000,1329300,366300,11239600,9045100,1347200,381000,11270300,9026200,1349300,396000,11293300,8975800,1365400,402900,11278700,8964000,1356900,420200,11323500,8947700,1376200,434900,11355900,8918300,1380000,452300,11351500
OK,Oklahoma,2507300,238200,267200,3508800,2517600,243400,288100,3544100,2500900,246200,322400,3635500,2507900,257900,337900,3664800,2510800,253500,346000,3689500,2521400,260100,357200,3726900,2518200,263900,367200,3749500,2524700,260000,383500,3783700,2520400,260900,391400,3800800,2507400,262800,400200,3803700,2492200,267700,414200,3816100,2488200,262800,424600,3826900
OR,Oregon,2963100,63000,408300,3711900,2979700,57200,418900,3743600,2954400,63200,441200,3764000,2959400,62900,457900,3793500,2975500,62700,464200,3825500,2985100,62000,473500,3851600,2996700,64200,485600,3889600,3029100,67500,499700,3948700,3064300,69800,510400,4014500,3079800,70500,529600,4063000,3091900,74300,545300,4110800,3097700,72900,553400,4128900
PA,Pennsylvania,9799700,1176300,566700,12002700,9856300,1204600,617500,12153500,9805100,1244900,688600,12293700,9791700,1247500,717300,12318300,9760800,1262300,750700,12347600,9704800,1283000,771900,12344300,9659000,1286300,803900,12368000,9614500,1267000,830600,12386400,9553800,1272900,866000,12364700,9498700,1294800,906500,12389100,9447800,1274800,939900,12388100,9401500,1282000,960500,12377600
RI,Rhode Island,793100,47200,115500,1009400,788000,49000,122500,1011800,771200,51600,128700,1009200,766700,49900,130600,1007400,759200,48300,135700,1007900,751900,52000,139200,1008600,751600,54900,144300,1013700,743500,52800,148000,1014400,737600,56600,153300,1013900,733300,54900,157900,1015900,725400,57000,162700,1014000,717300,60300,169100,1017100
SC,South Carolina,2819300,1205500,167900,4318400,2860400,1214000,195800,4393700,2883300,1238700,220100,4476500,2902500,1245000,231400,4519500,2937500,1238900,234900,4569100,2964300,1254800,242000,4616200,2995500,1266700,246000,4674300,3031800,1279000,249800,4734000,3075500,1280800,263400,4805300,3111700,1297600,270000,4864600,3146900,1298200,284100,4929800,3177000,1307200,285200,4984200
SD,South Dakota,662700,6700,21300,769900,666700,10100,18400,781400,669200,9500,19400,787000,669800,8700,21800,791400,672600,14900,22100,800400,678900,13100,25900,811600,686400,12500,27100,821600,686800,11400,28100,829000,691500,11200,30700,835800,690400,17400,29800,837000,692900,18500,32100,848700,697500,18800,31400,851300
TN,Tennessee,4662800,970400,228400,6045200,4691800,986600,250600,6116600,4689100,1018500,280800,6186200,4712300,1025600,288600,6230500,4728400,1037000,298900,6277400,4741900,1051300,303200,6318700,4766200,1053600,313600,6374800,4782000,1063400,325900,6422800,4814000,1058900,338100,6467700,4847000,1074900,351400,6538200,4860100,1087600,361800,6586400,4884500,1088500,378900,6640900
TX,Texas,11213000,2591500,8626100,23643000,11235700,2643400,8947200,24096900,11107500,2764300,9339100,24584400,11185300,2800200,9596100,25006100,11265800,2874000,9756900,25384300,11329100,2922400,9947800,25773000,11417900,3005800,10204600,26280100,11500100,3074800,10466100,26777500,11555500,3124600,10671100,27178300,11559700,3196500,10951000,27621300,11607500,3251900,11163700,28024000,11637100,3297200,11300500,28286200
UT,Utah,2202100,25800,317800,2686800,2217800,26200,336500,2733400,2190500,26100,353500,2724100,2215000,27400,364700,2767500,2240100,25100,369300,2801700,2267600,26900,380000,2849400,2296400,29900,386600,2891800,2326300,32400,403000,2945200,2361900,29400,413000,2999300,2392300,33000,425000,3047400,2421400,35800,438200,3105900,2452300,32600,455000,3154100
VT,Vermont,569600,3400,6200,599100,568400,5400,8800,599600,566500,6900,8700,599500,566100,4100,7300,599800,566700,5600,8300,600700,567200,6000,9000,602700,560600,5300,8700,6.00E+05,563900,7400,9300,602400,560600,5000,11100,599600,559000,7000,10400,600200,557900,6600,11000,600600,555100,6700,10600,598100
VA,Virginia,4973600,1413300,504200,7418400,4985000,1413200,540600,7512800,5001400,1461300,607000,7703800,5025800,1471200,624900,7783700,5047300,1470000,658500,7865500,5067700,1479900,680500,7945700,5052100,1496200,707400,8006000,5053300,1492500,722700,8051200,5035700,1495100,732600,8080900,5039200,1507600,758500,8140700,5034100,1519400,779900,8182100,5017100,1543100,787100,8185100
WA,Washington,4795600,204900,625000,6370500,4835700,208600,668100,6486600,4778300,214600,738600,6575900,4795000,216600,769000,6654400,4827200,231100,787000,6732900,4827300,230900,810500,6797800,4844800,226300,837800,6887600,4892000,242200,863700,7002800,4949000,244000,885900,7124100,4976100,246900,916000,7239800,5006200,268700,949700,7368000,5013200,282700,964700,7423900
WV,West Virginia,1654600,55000,20100,1765200,1657000,50700,20200,1768900,1683100,49500,20200,1799000,1686800,51700,18500,1802200,1680700,55200,21500,1801800,1676500,53600,21900,1798200,1665200,62000,21100,1791600,1662300,61000,24000,1791500,1646900,61100,24300,1781700,1631600,64300,20400,1762100,1620000,63300,22500,1752300,1609000,55900,24800,1739000
WI,Wisconsin,4658700,295500,277500,5467500,4655100,313300,289400,5492700,4622200,330300,325800,5533400,4623500,329100,333100,5549900,4625000,322100,343400,5566100,4620800,332800,354300,5592500,4618400,330700,359100,5603600,4613000,338600,369600,5620900,4605200,334800,375000,5623300,4600500,328100,382000,5643000,4598500,349400,393600,5662800,4602500,349200,401700,5677100
WY,Wyoming,446500,4500,41600,516100,454000,4100,43100,526300,472000,4100,48800,548400,473500,4400,49500,551600,474000,4300,53100,559000,482300,7200,49700,567300,479100,6000,55200,568500,479400,4500,56200,568900,482500,4000,54700,569400,474400,5300,56100,563300,471600,2700,56000,560300,471600,5400,57100,562700
