state,Location,White2008,Black2008,Hispanic2008,Total2008,White2009,Black2009,Hispanic2009,Total2009,White2010,Black2010,Hispanic2010,Total2010,White2011,Black2011,Hispanic2011,Total2011,White2012,Black2012,Hispanic2012,Total2012,White2013,Black2013,Hispanic2013,Total2013,White2014,Black2014,Hispanic2014,Total2014,White2015,Black2015,Hispanic2015,Total2015,White2016,Black2016,Hispanic2016,Total2016,White2017,Black2017,Hispanic2017,Total2017,White2018,Black2018,Hispanic2018,Total2018,White2019,Black2019,Hispanic2019,Total2019
RI,Rhode Island,0,21.18644068,0,0.990687537,1.269035533,0,0,0.988337616,0,0,0,0,0,0,0,0,0,0,0,0,1.329964091,0,0,0.991473329,0,18.21493625,0,0.986485153,0,0,0,0,0,17.66784452,6.523157208,1.972581122,1.36369835,0,0,0.984348853,0,17.54385965,0,0.986193294,0,0,0,0
SC,South Carolina,1.773489873,0.829531315,23.82370459,2.315672471,2.097608726,0,20.42900919,2.275986071,2.080948913,8.880277711,4.543389368,4.020998548,3.100775194,10.44176707,0,4.86779511,2.723404255,6.45734119,4.257130694,3.720645204,4.722868805,7.172457762,0,4.9824531,4.673677182,3.947264546,0,4.064779753,4.617718847,7.818608288,0,5.069708492,4.552105349,5.465334166,3.796507213,4.578278151,2.89230967,3.853267571,7.407407407,3.28906796,2.859957418,1.54059467,0,2.231327843,3.462385899,3.05997552,0,3.009510052
SD,South Dakota,0,0,0,0,0,0,0,0,1.494321578,0,0,1.27064803,4.47894894,0,0,3.790750569,0,0,0,0,1.472970982,0,0,1.232134056,1.456876457,0,0,1.217137293,2.912055911,0,0,2.412545235,2.892263196,0,0,2.392916966,2.896871379,0,0,2.38948626,2.886419397,0,0,2.356545305,2.867383513,0,0,2.349348056
TN,Tennessee,1.072317063,1.030502885,8.756567426,1.323363991,0.42627563,0,27.93296089,1.471405683,1.919344864,8.8365243,3.561253561,3.071352365,1.697684782,5.850234009,0,2.247010673,2.749344387,7.714561234,0,3.345334056,3.163288977,4.756016361,0,3.165208033,3.356972011,5.69476082,0,3.451088662,3.136762861,3.761519654,6.136851795,3.269602043,4.154549231,4.721881197,2.957704821,4.019976189,5.776769136,3.721276398,2.845759818,5.047260714,3.909384581,11.95292387,2.763957988,5.010324305,4.913501894,9.186954525,0,5.119787981
TX,Texas,2.31873718,9.261045726,1.854835905,2.791523918,2.136048488,13.99712491,1.452968526,3.070934436,2.520819266,8.682125674,2.783994175,3.172743691,2.413882507,6.070994929,2.396807036,2.67934624,3.550568979,10.78636047,2.972255532,3.939442884,4.236876716,8.212428141,3.920464826,4.306832732,4.379088974,8.982633575,3.233835721,4.185676615,5.565168999,7.480161311,4.299595838,4.929511717,5.365410411,8.641106062,2.81133154,4.378493136,2.76823793,6.882527765,2.92210757,3.113539189,3.187594228,6.765275685,4.568377868,3.925206965,4.210671043,10.31177969,2.65474979,3.994880896
UT,Utah,2.27055992,38.75968992,0,2.233139795,2.705383714,0,0,2.195068413,1.369550331,0,2.828854314,1.468374876,3.16027088,0,2.741979709,2.890695574,2.232043212,0,0,1.78463076,2.204974422,0,2.631578947,2.105706465,5.661034663,33.44481605,7.759958614,5.878691472,3.868804539,30.86419753,0,3.395355154,4.657267454,0,0,3.667522422,1.6720311,30.3030303,9.411764706,2.953337271,4.12984224,83.79888268,11.41031492,5.795421617,2.446682706,61.34969325,6.593406593,3.487524175
VA,Virginia,1.005308026,0,5.950019833,1.078399655,2.407221665,0,11.09877913,2.395910979,0.599832047,6.15889961,0,1.557672837,2.387679573,5.437737901,0,2.569472102,2.377508767,0.680272109,0,1.65278749,0.986640882,6.081491993,1.469507715,1.887813534,1.385562439,1.33671969,2.827254736,1.373969523,1.781014387,7.370184255,1.383700014,2.608306836,1.588656989,8.026218982,1.365001365,2.59872044,2.976662962,6.633059167,2.636783125,3.3166681,1.787807155,7.239699882,0,2.44436025,1.59454665,3.240230704,0,1.588251823
VT,Vermont,0,0,0,0,0,0,0,0,0,144.9275362,0,1.668056714,0,0,0,0,3.529204164,0,0,3.329448976,1.763046544,0,0,1.659200265,0,0,114.9425287,1.666666667,1.773364072,0,0,1.66002656,5.351409204,0,0,5.003335557,1.788908766,0,0,1.666111296,7.169743682,0,0,6.66000666,5.404431634,0,0,5.015883631
WA,Washington,0.834097923,4.880429478,1.6,0.9418413,3.929110573,0,1.496781919,3.083279376,3.767030115,9.319664492,1.353912808,3.19347922,6.047966632,4.616805171,6.501950585,5.259677807,3.314550878,8.654262224,0,2.67343938,3.314482216,25.98527501,3.701418877,3.67766042,5.572985469,8.837825895,3.580806875,4.646030548,2.248569092,4.128819158,1.157809425,1.856400297,3.030915336,20.49180328,3.386386725,3.228477983,3.617290649,32.4017821,5.458515284,4.28188624,2.596779993,3.721622627,2.105928188,2.17155266,2.593154073,31.83586841,8.292733492,4.041002707
WI,Wisconsin,0.214652156,0,0,0.182898948,0.429636313,0,3.455425017,0.546179475,1.08173597,12.11020285,3.06936771,1.807207142,0.865145453,6.077180188,0,1.08110056,1.297297297,0,0,1.077954043,1.947714681,12.01923077,2.822466836,2.503352705,1.299151221,9.071666163,0,1.606110358,1.951008021,5.906674542,8.116883117,2.490704336,2.822895857,17.92114695,2.666666667,3.556630448,3.260515161,18.28710759,0,3.721424774,1.522235512,11.44819691,0,1.942501943,2.607278653,11.45475372,2.489419965,2.994486622
WV,West Virginia,1.20875136,0,49.75124378,1.699524133,1.207000604,0,49.5049505,1.695969246,0,0,0,0,1.185677022,19.34235977,0,1.664632116,5.354911644,18.11594203,0,5.55000555,4.175365344,18.65671642,0,4.448893338,3.002642325,0,0,2.790801518,4.812609036,32.78688525,0,5.581914597,9.108021131,16.36661211,0,8.980187461,6.741848492,15.55209953,0,6.810056183,2.469135802,31.59557662,0,3.424071221,4.972032318,35.77817531,0,5.750431282
WY,Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,4.223864836,0,0,3.625815809,2.109704641,0,0,1.788908766,2.0733983,0,0,1.762735766,6.261740764,0,0,5.277044855,12.51564456,0,0,10.54666901,4.14507772,0,18.28153565,5.268703899,2.107925801,0,0,1.775252974,6.361323155,0,17.85714286,7.139032661,2.120441052,0,17.51313485,3.554291807
Average,Average,1.157183189,3.453886336,3.868548049,1.76787407,1.413628097,3.589020424,4.128583134,2.000014094,1.751420292,5.881004906,2.318398813,2.207397641,1.978336178,7.42887062,3.011716166,2.652757944,2.303625063,8.315262583,3.090384077,2.976652435,2.604226228,8.376946428,3.619816887,3.26173346,2.707622972,6.994680851,3.348144092,3.110773851,3.104980534,7.64673155,3.421353227,3.443337908,3.277285348,8.008402258,3.348508489,3.574314417,3.15073785,7.732502285,3.822078759,3.542333088,3.034605959,7.24311516,3.607849038,3.372071337,2.612680313,7.717577812,3.147069672,3.091629702
