state,Location,White,Black,Hispanic,total,year,,,,,,,,
MD,Maryland,3078800,1623500,462200,5622200,2010,,,,,,,,
MA,Massachusetts,4834300,391700,611200,6328400,2010,,,,,,,,
MI,Michigan,7410900,1328700,424800,9657600,2010,,,,,,,,
MN,Minnesota,4317200,245100,241400,5187500,2010,,,,,,,,
MS,Mississippi,1673000,1060100,68000,2867200,2010,,,,,,,,
MO,Missouri,4712800,662800,204800,5802000,2010,,,,,,,,
MT,Montana,847300,3800,26400,962800,2010,,,,,,,,
NE,Nebraska,1458500,73900,163500,1771000,2010,,,,,,,,
NV,Nevada,1433600,204500,711500,2657600,2010,,,,,,,,
NH,New Hampshire,1175500,13800,35000,1276000,2010,,,,,,,,
NJ,New Jersey,5119000,1085500,1536000,8620400,2010,,,,,,,,
NM,New Mexico,817900,33600,937600,2018000,2010,,,,,,,,
NY,New York,10977600,2704600,3360400,18860000,2010,,,,,,,,
NC,North Carolina,6042600,1926500,782500,9241100,2010,,,,,,,,
ND,North Dakota,577700,7100,12200,647200,2010,,,,,,,,
OH,Ohio,9121200,1332000,341900,11215700,2010,,,,,,,,
OK,Oklahoma,2500900,246200,322400,3635500,2010,,,,,,,,
OR,Oregon,2954400,63200,441200,3764000,2010,,,,,,,,
PA,Pennsylvania,9805100,1244900,688600,12293700,2010,,,,,,,,
RI,Rhode Island,771200,51600,128700,1009200,2010,,,,,,,,
SC,South Carolina,2883300,1238700,220100,4476500,2010,,,,,,,,
SD,South Dakota,669200,9500,19400,787000,2010,,,,,,,,
TN,Tennessee,4689100,1018500,280800,6186200,2010,,,,,,,,
TX,Texas,11107500,2764300,9339100,24584400,2010,,,,,,,,
UT,Utah,2190500,26100,353500,2724100,2010,,,,,,,,
VT,Vermont,566500,6900,8700,599500,2010,,,,,,,,
VA,Virginia,5001400,1461300,607000,7703800,2010,,,,,,,,
WA,Washington,4778300,214600,738600,6575900,2010,,,,,,,,
WV,West Virginia,1683100,49500,20200,1799000,2010,,,,,,,,
WI,Wisconsin,4622200,330300,325800,5533400,2010,,,,,,,,
WY,Wyoming,472000,4100,48800,548400,2010,,,,,,,,
US,United States,192080600,36478000,50801600,303080600,2011,,,,,,,,
AL,Alabama,3129700,1234700,181200,4676000,2011,,,,,,,,
AK,Alaska,441500,19900,40600,697100,2011,,,,,,,,
AZ,Arizona,3634700,235400,1899500,6324500,2011,,,,,,,,
AR,Arkansas,2122800,439500,185400,2849500,2011,,,,,,,,
CA,California,14577300,2039700,14094900,36862800,2011,,,,,,,,
CO,Colorado,3482600,181500,1043800,4983900,2011,,,,,,,,
CT,Connecticut,2455800,327100,479900,3466400,2011,,,,,,,,
DE,Delaware,575000,180900,74700,880100,2011,,,,,,,,
DC,District of Columbia,2.00E+05,292900,57000,583900,2011,,,,,,,,
FL,Florida,10693800,2809300,4286500,18614200,2011,,,,,,,,
GA,Georgia,5302500,2857000,854400,9517400,2011,,,,,,,,
HI,Hawaii,286600,18900,119800,1311900,2011,,,,,,,,
ID,Idaho,1297600,7400,175200,1547300,2011,,,,,,,,
IL,Illinois,7939200,1763600,2048900,12553800,2011,,,,,,,,
IN,Indiana,5144100,552200,387400,6317100,2011,,,,,,,,
IA,Iowa,2625700,75800,149200,2963800,2011,,,,,,,,
KS,Kansas,2162200,149400,297100,2772200,2011,,,,,,,,
KY,Kentucky,3651500,326500,125800,4227900,2011,,,,,,,,
LA,Louisiana,2679200,1401300,188900,4431200,2011,,,,,,,,
ME,Maine,1221000,14600,14500,1292200,2011,,,,,,,,
MD,Maryland,3077300,1643100,476500,5668600,2011,,,,,,,,
